"iteration","learning_rate","hidden_layer_sizes","mse","conf_matrix"
"1","0.1","3","0.23958333333333334","[[106, 19], [27, 40]]"
"1","0.1","5","0.20833333333333334","[[107, 18], [22, 45]]"
"1","0.1","7","0.203125","[[110, 15], [24, 43]]"
"1","0.01","3","0.22916666666666666","[[109, 16], [28, 39]]"
"1","0.01","5","0.203125","[[111, 14], [25, 42]]"
"1","0.01","7","0.18229166666666666","[[113, 12], [23, 44]]"
"1","0.001","3","0.234375","[[109, 16], [29, 38]]"
"1","0.001","5","0.21875","[[107, 18], [24, 43]]"
"1","0.001","7","0.19791666666666666","[[111, 14], [24, 43]]"
"2","0.1","3","0.2760416666666667","[[109, 16], [37, 30]]"
"2","0.1","5","0.2604166666666667","[[106, 19], [31, 36]]"
"2","0.1","7","0.2760416666666667","[[100, 25], [28, 39]]"
"2","0.01","3","0.234375","[[108, 17], [28, 39]]"
"2","0.01","5","0.24479166666666666","[[110, 15], [32, 35]]"
"2","0.01","7","0.28125","[[101, 24], [30, 37]]"
"2","0.001","3","0.2552083333333333","[[108, 17], [32, 35]]"
"2","0.001","5","0.23958333333333334","[[114, 11], [35, 32]]"
"2","0.001","7","0.234375","[[108, 17], [28, 39]]"
"3","0.1","3","0.25","[[109, 16], [32, 35]]"
"3","0.1","5","0.2760416666666667","[[106, 19], [34, 33]]"
"3","0.1","7","0.2864583333333333","[[101, 24], [31, 36]]"
"3","0.01","3","0.21875","[[112, 13], [29, 38]]"
"3","0.01","5","0.2604166666666667","[[107, 18], [32, 35]]"
"3","0.01","7","0.234375","[[110, 15], [30, 37]]"
"3","0.001","3","0.21354166666666666","[[110, 15], [26, 41]]"
"3","0.001","5","0.24479166666666666","[[110, 15], [32, 35]]"
"3","0.001","7","0.25","[[109, 16], [32, 35]]"
"4","0.1","3","0.265625","[[111, 14], [37, 30]]"
"4","0.1","5","0.2552083333333333","[[107, 18], [31, 36]]"
"4","0.1","7","0.2604166666666667","[[110, 15], [35, 32]]"
"4","0.01","3","0.25","[[109, 16], [32, 35]]"
"4","0.01","5","0.2708333333333333","[[105, 20], [32, 35]]"
"4","0.01","7","0.2552083333333333","[[109, 16], [33, 34]]"
"4","0.001","3","0.265625","[[108, 17], [34, 33]]"
"4","0.001","5","0.25","[[108, 17], [31, 36]]"
"4","0.001","7","0.2604166666666667","[[108, 17], [33, 34]]"
"5","0.1","3","0.3072916666666667","[[92, 33], [26, 41]]"
"5","0.1","5","0.3333333333333333","[[85, 40], [24, 43]]"
"5","0.1","7","0.3177083333333333","[[98, 27], [34, 33]]"
"5","0.01","3","0.2916666666666667","[[95, 30], [26, 41]]"
"5","0.01","5","0.34375","[[84, 41], [25, 42]]"
"5","0.01","7","0.3072916666666667","[[88, 37], [22, 45]]"
"5","0.001","3","0.2916666666666667","[[97, 28], [28, 39]]"
"5","0.001","5","0.3072916666666667","[[91, 34], [25, 42]]"
"5","0.001","7","0.2864583333333333","[[93, 32], [23, 44]]"
"6","0.1","3","0.2708333333333333","[[98, 27], [25, 42]]"
"6","0.1","5","0.2708333333333333","[[99, 26], [26, 41]]"
"6","0.1","7","0.21875","[[106, 19], [23, 44]]"
"6","0.01","3","0.24479166666666666","[[106, 19], [28, 39]]"
"6","0.01","5","0.28125","[[103, 22], [32, 35]]"
"6","0.01","7","0.25","[[102, 23], [25, 42]]"
"6","0.001","3","0.25","[[110, 15], [33, 34]]"
"6","0.001","5","0.2760416666666667","[[102, 23], [30, 37]]"
"6","0.001","7","0.2604166666666667","[[104, 21], [29, 38]]"
"7","0.1","3","0.22395833333333334","[[116, 9], [34, 33]]"
"7","0.1","5","0.23958333333333334","[[113, 12], [34, 33]]"
"7","0.1","7","0.2552083333333333","[[107, 18], [31, 36]]"
"7","0.01","3","0.234375","[[113, 12], [33, 34]]"
"7","0.01","5","0.22916666666666666","[[116, 9], [35, 32]]"
"7","0.01","7","0.25","[[110, 15], [33, 34]]"
"7","0.001","3","0.234375","[[112, 13], [32, 35]]"
"7","0.001","5","0.21875","[[116, 9], [33, 34]]"
"7","0.001","7","0.22916666666666666","[[115, 10], [34, 33]]"
"8","0.1","3","0.21354166666666666","[[110, 15], [26, 41]]"
"8","0.1","5","0.20833333333333334","[[109, 16], [24, 43]]"
"8","0.1","7","0.234375","[[105, 20], [25, 42]]"
"8","0.01","3","0.22916666666666666","[[109, 16], [28, 39]]"
"8","0.01","5","0.2552083333333333","[[105, 20], [29, 38]]"
"8","0.01","7","0.2552083333333333","[[102, 23], [26, 41]]"
"8","0.001","3","0.22395833333333334","[[110, 15], [28, 39]]"
"8","0.001","5","0.22395833333333334","[[107, 18], [25, 42]]"
"8","0.001","7","0.24479166666666666","[[106, 19], [28, 39]]"
"9","0.1","3","0.296875","[[99, 26], [31, 36]]"
"9","0.1","5","0.2864583333333333","[[102, 23], [32, 35]]"
"9","0.1","7","0.328125","[[98, 27], [36, 31]]"
"9","0.01","3","0.2916666666666667","[[102, 23], [33, 34]]"
"9","0.01","5","0.3020833333333333","[[100, 25], [33, 34]]"
"9","0.01","7","0.3072916666666667","[[98, 27], [32, 35]]"
"9","0.001","3","0.2916666666666667","[[97, 28], [28, 39]]"
"9","0.001","5","0.3020833333333333","[[100, 25], [33, 34]]"
"9","0.001","7","0.2864583333333333","[[99, 26], [29, 38]]"
"10","0.1","3","0.234375","[[106, 19], [26, 41]]"
"10","0.1","5","0.25","[[96, 29], [19, 48]]"
"10","0.1","7","0.24479166666666666","[[103, 22], [25, 42]]"
"10","0.01","3","0.22395833333333334","[[105, 20], [23, 44]]"
"10","0.01","5","0.22916666666666666","[[107, 18], [26, 41]]"
"10","0.01","7","0.19791666666666666","[[108, 17], [21, 46]]"
"10","0.001","3","0.21875","[[108, 17], [25, 42]]"
"10","0.001","5","0.19791666666666666","[[111, 14], [24, 43]]"
"10","0.001","7","0.24479166666666666","[[103, 22], [25, 42]]"
"11","0.1","3","0.23958333333333334","[[95, 30], [16, 51]]"
"11","0.1","5","0.234375","[[101, 24], [21, 46]]"
"11","0.1","7","0.2604166666666667","[[101, 24], [26, 41]]"
"11","0.01","3","0.21875","[[102, 23], [19, 48]]"
"11","0.01","5","0.21875","[[101, 24], [18, 49]]"
"11","0.01","7","0.2708333333333333","[[96, 29], [23, 44]]"
"11","0.001","3","0.2552083333333333","[[89, 36], [13, 54]]"
"11","0.001","5","0.21875","[[103, 22], [20, 47]]"
"11","0.001","7","0.19270833333333334","[[107, 18], [19, 48]]"
"12","0.1","3","0.23958333333333334","[[107, 18], [28, 39]]"
"12","0.1","5","0.25","[[110, 15], [33, 34]]"
"12","0.1","7","0.2708333333333333","[[97, 28], [24, 43]]"
"12","0.01","3","0.23958333333333334","[[108, 17], [29, 38]]"
"12","0.01","5","0.265625","[[108, 17], [34, 33]]"
"12","0.01","7","0.234375","[[109, 16], [29, 38]]"
"12","0.001","3","0.2552083333333333","[[111, 14], [35, 32]]"
"12","0.001","5","0.24479166666666666","[[108, 17], [30, 37]]"
"12","0.001","7","0.234375","[[108, 17], [28, 39]]"
"13","0.1","3","0.20833333333333334","[[109, 16], [24, 43]]"
"13","0.1","5","0.234375","[[107, 18], [27, 40]]"
"13","0.1","7","0.25","[[106, 19], [29, 38]]"
"13","0.01","3","0.21354166666666666","[[109, 16], [25, 42]]"
"13","0.01","5","0.21875","[[108, 17], [25, 42]]"
"13","0.01","7","0.22916666666666666","[[104, 21], [23, 44]]"
"13","0.001","3","0.21875","[[99, 26], [16, 51]]"
"13","0.001","5","0.20833333333333334","[[108, 17], [23, 44]]"
"13","0.001","7","0.21354166666666666","[[110, 15], [26, 41]]"
"14","0.1","3","0.2552083333333333","[[104, 21], [28, 39]]"
"14","0.1","5","0.2760416666666667","[[104, 21], [32, 35]]"
"14","0.1","7","0.2552083333333333","[[103, 22], [27, 40]]"
"14","0.01","3","0.2604166666666667","[[102, 23], [27, 40]]"
"14","0.01","5","0.2604166666666667","[[104, 21], [29, 38]]"
"14","0.01","7","0.24479166666666666","[[104, 21], [26, 41]]"
"14","0.001","3","0.2552083333333333","[[99, 26], [23, 44]]"
"14","0.001","5","0.234375","[[104, 21], [24, 43]]"
"14","0.001","7","0.22395833333333334","[[105, 20], [23, 44]]"
"15","0.1","3","0.2864583333333333","[[102, 23], [32, 35]]"
"15","0.1","5","0.2864583333333333","[[104, 21], [34, 33]]"
"15","0.1","7","0.2864583333333333","[[102, 23], [32, 35]]"
"15","0.01","3","0.25","[[107, 18], [30, 37]]"
"15","0.01","5","0.2604166666666667","[[107, 18], [32, 35]]"
"15","0.01","7","0.2604166666666667","[[105, 20], [30, 37]]"
"15","0.001","3","0.22916666666666666","[[108, 17], [27, 40]]"
"15","0.001","5","0.2760416666666667","[[105, 20], [33, 34]]"
"15","0.001","7","0.25","[[108, 17], [31, 36]]"
"16","0.1","3","0.23958333333333334","[[112, 13], [33, 34]]"
"16","0.1","5","0.234375","[[105, 20], [25, 42]]"
"16","0.1","7","0.2708333333333333","[[103, 22], [30, 37]]"
"16","0.01","3","0.234375","[[110, 15], [30, 37]]"
"16","0.01","5","0.22395833333333334","[[106, 19], [24, 43]]"
"16","0.01","7","0.2708333333333333","[[101, 24], [28, 39]]"
"16","0.001","3","0.234375","[[107, 18], [27, 40]]"
"16","0.001","5","0.234375","[[104, 21], [24, 43]]"
"16","0.001","7","0.25","[[107, 18], [30, 37]]"
"17","0.1","3","0.25","[[112, 13], [35, 32]]"
"17","0.1","5","0.2552083333333333","[[108, 17], [32, 35]]"
"17","0.1","7","0.234375","[[112, 13], [32, 35]]"
"17","0.01","3","0.23958333333333334","[[111, 14], [32, 35]]"
"17","0.01","5","0.2552083333333333","[[105, 20], [29, 38]]"
"17","0.01","7","0.21875","[[108, 17], [25, 42]]"
"17","0.001","3","0.24479166666666666","[[111, 14], [33, 34]]"
"17","0.001","5","0.2708333333333333","[[103, 22], [30, 37]]"
"17","0.001","7","0.2552083333333333","[[110, 15], [34, 33]]"
"18","0.1","3","0.23958333333333334","[[102, 23], [23, 44]]"
"18","0.1","5","0.22395833333333334","[[102, 23], [20, 47]]"
"18","0.1","7","0.2552083333333333","[[95, 30], [19, 48]]"
"18","0.01","3","0.203125","[[104, 21], [18, 49]]"
"18","0.01","5","0.265625","[[97, 28], [23, 44]]"
"18","0.01","7","0.22916666666666666","[[103, 22], [22, 45]]"
"18","0.001","3","0.203125","[[105, 20], [19, 48]]"
"18","0.001","5","0.2604166666666667","[[93, 32], [18, 49]]"
"18","0.001","7","0.234375","[[103, 22], [23, 44]]"
"19","0.1","3","0.2708333333333333","[[106, 19], [33, 34]]"
"19","0.1","5","0.265625","[[103, 22], [29, 38]]"
"19","0.1","7","0.28125","[[103, 22], [32, 35]]"
"19","0.01","3","0.265625","[[107, 18], [33, 34]]"
"19","0.01","5","0.24479166666666666","[[106, 19], [28, 39]]"
"19","0.01","7","0.28125","[[101, 24], [30, 37]]"
"19","0.001","3","0.2708333333333333","[[106, 19], [33, 34]]"
"19","0.001","5","0.2708333333333333","[[106, 19], [33, 34]]"
"19","0.001","7","0.265625","[[106, 19], [32, 35]]"
"20","0.1","3","0.22395833333333334","[[109, 16], [27, 40]]"
"20","0.1","5","0.24479166666666666","[[104, 21], [26, 41]]"
"20","0.1","7","0.234375","[[108, 17], [28, 39]]"
"20","0.01","3","0.2552083333333333","[[104, 21], [28, 39]]"
"20","0.01","5","0.24479166666666666","[[107, 18], [29, 38]]"
"20","0.01","7","0.21354166666666666","[[108, 17], [24, 43]]"
"20","0.001","3","0.2708333333333333","[[101, 24], [28, 39]]"
"20","0.001","5","0.2604166666666667","[[107, 18], [32, 35]]"
"20","0.001","7","0.234375","[[111, 14], [31, 36]]"
"21","0.1","3","0.20833333333333334","[[111, 14], [26, 41]]"
"21","0.1","5","0.23958333333333334","[[107, 18], [28, 39]]"
"21","0.1","7","0.25","[[105, 20], [28, 39]]"
"21","0.01","3","0.24479166666666666","[[109, 16], [31, 36]]"
"21","0.01","5","0.2708333333333333","[[106, 19], [33, 34]]"
"21","0.01","7","0.23958333333333334","[[105, 20], [26, 41]]"
"21","0.001","3","0.21354166666666666","[[112, 13], [28, 39]]"
"21","0.001","5","0.2604166666666667","[[106, 19], [31, 36]]"
"21","0.001","7","0.21875","[[113, 12], [30, 37]]"
"22","0.1","3","0.2604166666666667","[[107, 18], [32, 35]]"
"22","0.1","5","0.21875","[[114, 11], [31, 36]]"
"22","0.1","7","0.3072916666666667","[[109, 16], [43, 24]]"
"22","0.01","3","0.2760416666666667","[[107, 18], [35, 32]]"
"22","0.01","5","0.2708333333333333","[[103, 22], [30, 37]]"
"22","0.01","7","0.2760416666666667","[[106, 19], [34, 33]]"
"22","0.001","3","0.265625","[[107, 18], [33, 34]]"
"22","0.001","5","0.25","[[106, 19], [29, 38]]"
"22","0.001","7","0.25","[[110, 15], [33, 34]]"
"23","0.1","3","0.1875","[[114, 11], [25, 42]]"
"23","0.1","5","0.21354166666666666","[[104, 21], [20, 47]]"
"23","0.1","7","0.22916666666666666","[[108, 17], [27, 40]]"
"23","0.01","3","0.20833333333333334","[[109, 16], [24, 43]]"
"23","0.01","5","0.20833333333333334","[[107, 18], [22, 45]]"
"23","0.01","7","0.234375","[[101, 24], [21, 46]]"
"23","0.001","3","0.21354166666666666","[[104, 21], [20, 47]]"
"23","0.001","5","0.22395833333333334","[[106, 19], [24, 43]]"
"23","0.001","7","0.21354166666666666","[[108, 17], [24, 43]]"
"24","0.1","3","0.21875","[[107, 18], [24, 43]]"
"24","0.1","5","0.265625","[[106, 19], [32, 35]]"
"24","0.1","7","0.2708333333333333","[[102, 23], [29, 38]]"
"24","0.01","3","0.23958333333333334","[[108, 17], [29, 38]]"
"24","0.01","5","0.2604166666666667","[[107, 18], [32, 35]]"
"24","0.01","7","0.265625","[[101, 24], [27, 40]]"
"24","0.001","3","0.234375","[[108, 17], [28, 39]]"
"24","0.001","5","0.25","[[106, 19], [29, 38]]"
"24","0.001","7","0.24479166666666666","[[106, 19], [28, 39]]"
"25","0.1","3","0.23958333333333334","[[105, 20], [26, 41]]"
"25","0.1","5","0.28125","[[104, 21], [33, 34]]"
"25","0.1","7","0.2604166666666667","[[112, 13], [37, 30]]"
"25","0.01","3","0.24479166666666666","[[105, 20], [27, 40]]"
"25","0.01","5","0.265625","[[98, 27], [24, 43]]"
"25","0.01","7","0.265625","[[103, 22], [29, 38]]"
"25","0.001","3","0.24479166666666666","[[104, 21], [26, 41]]"
"25","0.001","5","0.265625","[[101, 24], [27, 40]]"
"25","0.001","7","0.21875","[[108, 17], [25, 42]]"
"26","0.1","3","0.2760416666666667","[[102, 23], [30, 37]]"
"26","0.1","5","0.2864583333333333","[[98, 27], [28, 39]]"
"26","0.1","7","0.2760416666666667","[[102, 23], [30, 37]]"
"26","0.01","3","0.2708333333333333","[[100, 25], [27, 40]]"
"26","0.01","5","0.2708333333333333","[[99, 26], [26, 41]]"
"26","0.01","7","0.2760416666666667","[[97, 28], [25, 42]]"
"26","0.001","3","0.28125","[[100, 25], [29, 38]]"
"26","0.001","5","0.265625","[[104, 21], [30, 37]]"
"26","0.001","7","0.2708333333333333","[[103, 22], [30, 37]]"
"27","0.1","3","0.2604166666666667","[[107, 18], [32, 35]]"
"27","0.1","5","0.265625","[[108, 17], [34, 33]]"
"27","0.1","7","0.25","[[108, 17], [31, 36]]"
"27","0.01","3","0.2552083333333333","[[105, 20], [29, 38]]"
"27","0.01","5","0.265625","[[105, 20], [31, 36]]"
"27","0.01","7","0.2604166666666667","[[104, 21], [29, 38]]"
"27","0.001","3","0.25","[[105, 20], [28, 39]]"
"27","0.001","5","0.265625","[[105, 20], [31, 36]]"
"27","0.001","7","0.2552083333333333","[[106, 19], [30, 37]]"
"28","0.1","3","0.24479166666666666","[[107, 18], [29, 38]]"
"28","0.1","5","0.22395833333333334","[[108, 17], [26, 41]]"
"28","0.1","7","0.25","[[108, 17], [31, 36]]"
"28","0.01","3","0.23958333333333334","[[108, 17], [29, 38]]"
"28","0.01","5","0.2552083333333333","[[104, 21], [28, 39]]"
"28","0.01","7","0.2604166666666667","[[98, 27], [23, 44]]"
"28","0.001","3","0.24479166666666666","[[107, 18], [29, 38]]"
"28","0.001","5","0.24479166666666666","[[104, 21], [26, 41]]"
"28","0.001","7","0.24479166666666666","[[103, 22], [25, 42]]"
"29","0.1","3","0.22916666666666666","[[109, 16], [28, 39]]"
"29","0.1","5","0.25","[[106, 19], [29, 38]]"
"29","0.1","7","0.234375","[[102, 23], [22, 45]]"
"29","0.01","3","0.20833333333333334","[[109, 16], [24, 43]]"
"29","0.01","5","0.234375","[[105, 20], [25, 42]]"
"29","0.01","7","0.234375","[[105, 20], [25, 42]]"
"29","0.001","3","0.2604166666666667","[[102, 23], [27, 40]]"
"29","0.001","5","0.21354166666666666","[[110, 15], [26, 41]]"
"29","0.001","7","0.25","[[107, 18], [30, 37]]"
"30","0.1","3","0.25","[[103, 22], [26, 41]]"
"30","0.1","5","0.24479166666666666","[[109, 16], [31, 36]]"
"30","0.1","7","0.23958333333333334","[[105, 20], [26, 41]]"
"30","0.01","3","0.25","[[106, 19], [29, 38]]"
"30","0.01","5","0.2552083333333333","[[106, 19], [30, 37]]"
"30","0.01","7","0.2916666666666667","[[101, 24], [32, 35]]"
"30","0.001","3","0.234375","[[107, 18], [27, 40]]"
"30","0.001","5","0.25","[[101, 24], [24, 43]]"
"30","0.001","7","0.21875","[[108, 17], [25, 42]]"
